City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,koraput,18.8167,82.7167,71.83,86,93,8.77,IN,1691507095
234,palmaner,13.2,78.75,81.86,47,100,5.06,IN,1691507095
235,rudsar,37.1376,50.288,87.78,64,5,4.25,IR,1691507095
236,mckinleyville,40.9465,-124.1006,60.78,96,100,0.0,US,1691507095
237,verkhnevilyuysk,63.4453,120.3167,60.91,54,0,5.68,RU,1691507095
238,shiyan,32.6475,110.7781,76.55,81,5,1.74,CN,1691507096
239,carutapera,-1.195,-46.02,82.42,80,64,10.09,BR,1691507081
240,queenstown,-31.8976,26.8753,64.04,38,85,7.05,ZA,1691507096
241,nuuk,64.1835,-51.7216,47.01,81,20,5.75,GL,1691507096
242,maxixe,-23.8597,35.3472,70.41,62,0,11.14,MZ,1691507097
243,zaozersk,69.4005,32.4476,78.3,62,2,9.69,RU,1691507097
244,igra,57.5558,53.0547,66.81,74,64,6.38,RU,1691507097
245,rongelap,11.1635,166.8941,82.85,79,31,15.03,MH,1691507097
246,vidyayevo,69.3191,32.8049,77.54,63,2,9.48,RU,1691507097
247,hasaki,35.7333,140.8333,82.31,93,71,12.06,JP,1691507098
248,timbuktu,16.7735,-3.0074,103.57,22,62,6.53,ML,1691507098
249,eyl,7.9803,49.8164,78.73,75,98,29.44,SO,1691507098
250,san sebastian de la gomera,28.0916,-17.1133,80.96,57,20,8.05,ES,1691507098
251,n'djamena,12.1067,15.0444,85.96,74,40,10.36,TD,1691507020
252,hithadhoo,-0.6,73.0833,82.4,71,80,6.15,MV,1691507099
253,punta arenas,-53.15,-70.9167,35.64,78,100,2.82,CL,1691507003
254,okha,53.5739,142.9478,55.42,86,55,1.21,RU,1691507099
255,polyarnyy,69.1989,33.4478,74.35,65,0,12.3,RU,1691507099
256,jianshui,23.6363,102.8264,69.78,97,99,2.3,CN,1691507100
257,selfoss,63.9331,-20.9971,64.04,69,77,4.81,IS,1691507100
258,salinas,36.6777,-121.6555,57.54,98,45,2.53,US,1691506920
259,dongola,19.1667,30.4833,106.74,17,8,3.74,SD,1691506943
260,afaahiti,-17.75,-149.2833,71.47,74,34,11.7,PF,1691507100
261,coquimbo,-29.9533,-71.3436,60.53,82,40,2.3,CL,1691507012
262,hinatuan,8.3722,126.3342,77.95,91,100,3.65,PH,1691507101
263,quellon,-43.1167,-73.6167,52.05,87,100,5.75,CL,1691507101
264,susuman,62.7833,148.1667,39.07,70,93,1.07,RU,1691507102
265,koulikoro,14.0,-7.75,96.91,33,13,10.78,ML,1691507102
266,hadibu,12.65,54.0333,81.16,69,34,19.64,YE,1691506938
267,yorkton,51.2167,-102.4677,57.04,88,0,5.75,CA,1691507103
268,nemuro,43.3236,145.575,62.98,100,100,4.68,JP,1691507104
269,zaragoza,41.6561,-0.8773,93.45,26,0,5.01,ES,1691506924
270,mananjary,-21.2167,48.3333,68.77,88,87,4.97,MG,1691507105
271,cannonvale,-20.2833,148.7,67.39,82,13,12.48,AU,1691507105
272,santa terezinha,-29.9002,-50.0904,62.78,58,91,14.58,BR,1691507105
273,sitka,57.0531,-135.33,57.09,88,100,9.22,US,1691506912
274,puerto deseado,-47.7503,-65.8938,51.19,50,72,26.26,AR,1691507106
275,kargasok,59.0556,80.8572,56.97,79,47,6.87,RU,1691507106
276,uturoa,-16.7333,-151.4333,77.61,78,75,3.8,PF,1691507106
277,berdigestyakh,62.0989,126.6992,52.63,55,11,5.06,RU,1691507107
278,uige,-7.6087,15.0613,90.77,21,0,8.32,AO,1691507084
279,kayenta,36.7278,-110.2546,76.73,34,0,20.58,US,1691507107
280,dunedin,-45.8742,170.5036,42.8,69,97,15.01,NZ,1691507003
281,edinburg,55.9521,-3.1965,66.78,48,40,12.66,GB,1691506974
282,rio grande,-32.035,-52.0986,64.51,58,7,14.05,BR,1691507108
283,burang,30.25,81.1667,55.09,80,96,5.39,CN,1691507108
284,luderitz,-26.6481,15.1594,70.45,50,0,24.72,NA,1691507108
285,bull savanna,17.8868,-77.5902,86.94,57,34,5.57,JM,1691507108
286,timimoun,29.2639,0.231,111.58,7,0,21.85,DZ,1691507108
287,shalkar,47.8288,59.6258,89.55,27,62,14.43,KZ,1691507109
288,tacuarembo,-31.7333,-55.9833,59.43,49,8,16.87,UY,1691506878
289,brookings,44.3114,-96.7984,72.37,80,0,3.44,US,1691506987
290,gao,16.6362,1.637,96.58,32,37,7.72,ML,1691507109
291,shimoda,34.6667,138.95,79.11,90,47,6.06,JP,1691507109
292,djambala,-2.5447,14.7533,86.0,35,83,0.65,CG,1691506942
293,tshikapa,-6.4167,20.8,98.49,17,13,0.72,CD,1691507110
294,betio village,1.358,172.9211,80.64,69,100,1.66,KI,1691507110
295,ketchikan,55.3422,-131.6461,57.67,100,100,4.61,US,1691507110
296,chibougamau,49.9168,-74.3659,58.62,94,100,10.36,CA,1691507111
297,tiksi,71.6872,128.8694,49.01,75,14,0.76,RU,1691507111
298,kalispell,48.1958,-114.3129,67.68,63,0,0.0,US,1691507111
299,saint-joseph,-21.3667,55.6167,70.18,76,36,8.46,RE,1691507111
300,borogontsy,62.6683,131.1683,52.95,59,23,3.67,RU,1691507111
301,glubokoye,50.1456,82.3114,69.55,49,19,8.95,KZ,1691507112
302,gizo,-8.103,156.8419,78.78,84,100,15.52,SB,1691507112
303,zheleznodorozhnyy,55.7503,38.0042,78.98,68,80,7.92,RU,1691507112
304,severo-yeniseyskiy,60.3725,93.0408,54.7,97,93,4.43,RU,1691507112
305,flying fish cove,-10.4217,105.6791,76.68,83,100,12.66,CX,1691507112
306,port saint john's,-31.6229,29.5448,67.03,77,33,18.16,ZA,1691507113
307,yigo village,13.5361,144.8886,79.32,91,0,8.05,GU,1691507113
308,zhigalovo,54.8097,105.1578,66.18,76,100,1.97,RU,1691507113
309,tucuma,-0.1833,-50.05,86.65,65,43,7.76,BR,1691507114
310,haiku-pauwela,20.9219,-156.3051,77.02,66,0,20.71,US,1691507114
311,gewane,10.1664,40.6453,96.21,28,69,2.15,ET,1691507114
312,adi keyh,14.8444,39.3772,67.84,54,75,3.91,ER,1691507114
313,biltine,14.5333,20.9167,88.66,47,99,8.43,TD,1691507114
314,dudinka,69.4058,86.1778,67.62,58,53,5.26,RU,1691506997
315,nizhnesortymskiy,62.4397,71.7603,68.5,62,55,8.43,RU,1691507115
316,kapa'a,22.0752,-159.319,82.38,82,100,20.71,US,1691507115
317,st. john's,47.5649,-52.7093,61.68,88,100,13.8,CA,1691506970
318,bukama,-9.2,25.85,92.88,18,0,5.35,CD,1691507115
319,rawson,-43.3002,-65.1023,56.08,34,10,18.1,AR,1691507115
320,wuxue,29.8506,115.5525,79.84,91,96,4.83,CN,1691507116
321,mana,5.6592,-53.7767,87.04,60,88,3.2,GF,1691507116
322,khovd,48.0056,91.6419,69.49,47,100,9.44,MN,1691507116
323,san luis de la loma,17.2706,-100.8939,86.07,66,0,3.94,MX,1691507116
324,francisco i. madero,29.7059,-107.8043,73.09,47,56,2.89,MX,1691507117
325,sikonge,-5.6333,32.7667,85.66,20,5,6.82,TZ,1691507117
326,kaiapoi,-43.3783,172.6401,39.09,78,7,5.75,NZ,1691507117
327,constitucion,-35.3333,-72.4167,55.62,66,36,2.59,CL,1691506836
328,constantia,44.1833,28.65,74.08,56,44,13.87,RO,1691507045
329,golbasi,37.7836,37.6367,100.76,14,0,8.39,TR,1691507117
330,san antonio de pale,-1.4014,5.6325,74.17,76,25,11.95,GQ,1691506998
331,edd,13.9297,41.6925,94.87,54,83,15.26,ER,1691507118
332,puerto aysen,-45.4,-72.7,39.24,100,75,0.0,CL,1691507118
333,nar'yan-mar,67.6713,53.087,63.07,51,64,7.34,RU,1691507118
334,berezovyy,51.6667,135.7,61.83,56,100,4.56,RU,1691507119
335,toba,34.4833,136.85,80.6,89,49,18.68,JP,1691507119
336,negru voda,43.8167,28.2,77.16,44,20,10.8,RO,1691507120
337,albacete,38.8333,-2.0,100.18,24,0,9.22,ES,1691507120
338,farmville,37.3021,-78.3919,82.13,63,100,4.61,US,1691506862
339,mahanoro,-19.9,48.8,69.91,79,7,4.29,MG,1691507120
340,sanski most,44.7653,16.6656,75.54,38,12,6.04,BA,1691507120
341,lerwick,60.1545,-1.1494,51.8,73,100,28.7,GB,1691507121
342,mbanza kongo,-6.267,14.2401,91.62,25,0,6.11,AO,1691507084
343,sinabang,2.4803,96.3801,79.23,79,100,4.09,ID,1691507121
344,nabire,-3.3667,135.4833,75.96,88,97,4.68,ID,1691507121
345,dingli,35.8614,14.3822,78.96,57,20,6.91,MT,1691507121
346,bandarbeyla,9.4942,50.8122,76.33,80,16,32.1,SO,1691507122
347,huarmey,-10.0681,-78.1522,71.35,69,15,8.48,PE,1691507122
348,salahonda,2.1019,-78.7217,80.89,79,87,11.52,CO,1691507122
349,port augusta,-32.5,137.7667,48.38,46,0,5.1,AU,1691507122
350,murun-kuren,49.6342,100.1625,61.12,86,100,0.43,MN,1691507122
351,kavaratti,10.5669,72.642,81.97,79,99,14.79,IN,1691507123
352,callao,-12.0667,-77.15,72.72,68,100,5.75,PE,1691507123
353,vinh,18.6667,105.6667,81.57,71,100,7.52,VN,1691507123
354,fort saskatchewan,53.7168,-113.2187,63.05,86,75,3.44,CA,1691506841
355,lazaro cardenas,17.9583,-102.2,85.73,72,39,4.18,MX,1691507123
356,chaibasa,22.5667,85.8167,77.97,84,100,5.97,IN,1691507123
357,utrik,11.2278,169.8474,82.0,79,89,13.15,MH,1691507124
358,palu,-0.8917,119.8707,75.96,95,33,2.71,ID,1691507124
359,lihue,21.9789,-159.3672,81.64,77,100,20.71,US,1691507125
360,geraldton,-28.7667,114.6,57.61,94,40,3.44,AU,1691507125
361,siwa oasis,29.2041,25.5195,98.17,24,0,10.51,EG,1691507125
